Software,RP Name
NVHPC,"ACES, Delta, Bridges-2, Rockfish"
nvhpc_latest,Delta
nvhpc-gcc,Rockfish
nvidia,OOKAMI
NVIDIA Compiler,Jetstream2
nvidia-container-cli,ACES
nvidia-system-monitor-qt,Rockfish
nvitop,Rockfish
NVSHMEM,ACES
nvtop,Delta
NWCHEM,"Stampede-2, Bridges-2"
oclfpga,KyRIC
Octave,"OOKAMI, Bridges-2"
ohpc,KyRIC
omb,KyRIC
ondemand,"Bridges-2, Rockfish"
ondemand-vnc,Rockfish
oneapi_rk,Stampede-2
oneTBB,Rockfish
ont-guppy,Rockfish
ooops,Stampede-2
openbabel,"ACES, Rockfish"
OpenBLAS,"OOKAMI, Anvil, ACES, Bridges-2, Rockfish"
openblas-0.3.13-gcc-9.3.0-mfzw4tk,KyRIC
opencarp,Rockfish
OpenCV,"ACES, Bridges-2"
OpenEXR,ACES
openfoam,"OOKAMI, Stampede-2, DARWIN, ACES, Bridges-2"
openfoam-org,Rockfish
OpenFold,ACES
openjdk,"Anvil, Rockfish"
openjdk-11.0.8_10-gcc-9.3.0-5ki5g5i,KyRIC
OpenJPEG,ACES
openldap,OOKAMI
openmm,"ACES, Rockfish"
OpenMPI,"Expanse, OOKAMI, ACES, Bridges-2, Rockfish"
openmpi-4.0.4-gcc-9.3.0-ejhqibc,KyRIC
openmpi-4.0.5-gcc-9.3.0-ylywa5h,KyRIC
openmpi-5.0_beta,Delta
openmpi4,KyRIC
openms,Rockfish
OpenPGM,ACES
OpenSceneGraph,ACES
opensees,"Stampede-2, Rockfish"
openssh-8.4p1-gcc-9.3.0-tp56hha,KyRIC
openssl,"OOKAMI, ACES"
openssl-1.1.1j-gcc-9.3.0-cx56ot2,KyRIC
opensycl,OOKAMI
Optuna,ACES
orca,"Bridges-2, Rockfish"
os,KyRIC
ospray,Stampede-2
osu-micro-benchmarks,Delta
own,Rockfish
p3dfft,Stampede-2
p4est,Stampede-2
p7zip,OOKAMI
pam-devel,Rockfish
pandoc,Rockfish
pango,"ACES, Rockfish"
panoply,Anvil
papi,"OOKAMI, Stampede-2, Anvil, KyRIC"
Parabricks,ACES
parafly,Anvil
parallel,"Expanse, Delta, Rockfish"
parallel-netcdf,"Stampede-2, Anvil, Delta, Rockfish"
Paraview,"Stampede-2, DARWIN, ACES, Delta, Rockfish"
paraview-osmesa,Stampede-2
parflow,Rockfish
parmetis,"ACES, Delta, Rockfish"
parmetis_petsc,Stampede-2
pax-utils,OOKAMI
PCRE,ACES
PCRE2,ACES
pcre2-10.35-gcc-9.3.0-wgo6kna,KyRIC
pdtoolkit,"Stampede-2, KyRIC"
pegasus,Rockfish
perl,"ACES, Bridges-2, Rockfish"
perl-5.32.1-gcc-9.3.0-szd4bmj,KyRIC
petsc,"OOKAMI, Stampede-2, Anvil, ACES, Delta"
petsc4py,Stampede-2
PGI,Bridges-2
phdf5,Stampede-2
PHYLIP,Bridges-2
physics-tenpy,ACES
picard,"Bridges-2, Rockfish"
pigz,Expanse
Pillow,ACES
Pillow-SIMD,ACES
pixman,"ACES, Rockfish"
pkg-config,ACES
pkgconf,"ACES, Rockfish"
pkgconf-1.7.3-gcc-9.3.0-djk4uwd,KyRIC
pkgconfig,ACES
plink,Rockfish
plotly.py,ACES
PLUMED,"ACES, Delta, Bridges-2, Rockfish"
PMIx,"KyRIC, ACES, Rockfish, Rockfish"
pnetCDF,"Stampede-2, ACES, Bridges-2"
pocl,ACES
polyfun,Rockfish
poppler,"ACES, Rockfish"
popt-1.16-gcc-9.3.0-ijd34o6,KyRIC
posix2ime,Delta
Postgresql,Jetstream2
POV-Ray,ACES
Prodigal,Bridges-2
proj,"ACES, Rockfish"
prokka,"Bridges-2, Rockfish"
protobuf,"Anvil, ACES"
protobuf-python,ACES
prun,KyRIC
pwanalyzer,OOKAMI
py-cython-0.29.21-gcc-9.3.0-u73np4p,KyRIC
py-netcdf4,Rockfish
py-setuptools-50.3.2-gcc-9.3.0-hrhyt55,KyRIC
py3Dmol,ACES
pybind11,"Stampede-2, ACES"
PyCairo,ACES
PyCUDA,ACES
pydantic,ACES
pydicom,ACES
PyGObject,ACES
pylauncher,Stampede-2
pyRosetta,Rockfish
Pysam,ACES
pytesseract,ACES
pytest,ACES
pytest-xdist,ACES
PYTHIA,ACES
Python,"OOKAMI, DARWIN, ACES, Delta, Rockfish"
python_cacher,Stampede-2
python-3.8.8-gcc-9.3.0-55y3cuq,KyRIC
Python-Anaconda,DARWIN
Python-htseq,DARWIN
python2,Stampede-2
python3,"OOKAMI, Stampede-2"
python37,OOKAMI
pyTorch,"OOKAMI, ACES, Rockfish"
