Software,RP Name,Software's Web Page,Software Documentation,Tutorials,
FastQC,"Stampede-2, ACES, Bridges-2, Rockfish",https://www.bioinformatics.babraham.ac.uk/projects/fastqc/,,https://www.youtube.com/watch?v=bz93ReOv87Y,
FASTX Toolkit,Bridges-2,http://hannonlab.cshl.edu/fastx_toolkit/,http://hannonlab.cshl.edu/fastx_toolkit/commandline.html,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003456#sec020,
fastx_toolkit,Stampede-2,http://hannonlab.cshl.edu/fastx_toolkit/,http://hannonlab.cshl.edu/fastx_toolkit/commandline.html,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003456#sec021,
feh,Rockfish,https://feh.finalrewind.org/,,https://wiki.archlinux.org/title/feh,
fenics,Rockfish,https://fenicsproject.org/,https://fenics.readthedocs.io/en/latest/,"https://comet-fenics.readthedocs.io/en/latest/,https://fenicsproject.org/pub/tutorial/html/._ftut1004.html",
ferret,Rockfish,https://ferret.pmel.noaa.gov/Ferret/,https://ferret.pmel.noaa.gov/Ferret/documentation/users-guide,,
ffmpeg,"OOKAMI, Stampede-2, ACES, Rockfish",https://ffmpeg.org/,https://ffmpeg.org/documentation.html,"https://trac.ffmpeg.org/wiki/Encode/H.264,",
ffnvcodec,ACES,https://github.com/FFmpeg/nv-codec-headers,https://github.com/FFmpeg/nv-codec-headers/blob/master/README,"https://ffmpeg.org/documentation.html,https://trac.ffmpeg.org/wiki/Encode/H.263,https://developer.nvidia.com/ffmpeg",
FFTW,"Anvil, DARWIN, ACES, Delta, Rockfish",https://www.fftw.org/,https://www.fftw.org/fftw3_doc/index.html,https://www.fftw.org/fftw2_doc/fftw_2.html,
fftw-3.3.9-gcc-9.3.0-7ffoo22,KyRIC,https://www.fftw.org/,https://www.fftw.org/fftw3_doc/index.html,https://www.fftw.org/fftw2_doc/fftw_2.html,
FFTW.MPI,ACES,,,,
fftw2,Stampede-2,http://www.fftw.org/,http://www.fftw.org/fftw2_doc/index.html,https://www.hpc.dtu.dk/?page_id=1180,
FFTW3,"OOKAMI, Stampede-2, Bridges-2",http://www.fftw.org/,https://www.fftw.org/fftw3_doc/index.html,https://www.fftw.org/fftw2_doc/fftw_2.html,
file,ACES,,,,No File
Firefox,"ACES, Rockfish",https://www.mozilla.org/en-US/firefox/new/,https://developer.mozilla.org/en-US/docs/Mozilla/Firefox,,
FLAC,ACES,https://xiph.org/flac/,https://xiph.org/flac/documentation.html,https://wiki.hydrogenaud.io/index.php?title=FLAC,
FLASh,Bridges-2,https://ccb.jhu.edu/software/FLASH/,,,
Flask,ACES,https://flask.palletsprojects.com/en/2.1.x/,,"https://flask.palletsprojects.com/en/2.1.x/tutorial/ , https://www.tutorialspoint.com/flask/index.htm , https://www.fullstackpython.com/flask.html ",
flatbuffers,ACES,,,,No File
flatbuffers-python,ACES,,,,
